name,album,artists,"""popularity""",disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,track_number
"The Spanish Lady, Op. 89: Suite: IV. Sarabande","Elgar: Serenade For Strings/Suite From ""A Spanish Lady"", etc.","['Edward Elgar', 'Ross Pople']",0.104483173,1,FALSE,0.247,0.0301,0,-25.126,1,0.0512,0.859,0.44,0.216,0.149,116.57,152067,3,1997,4/1/1997,14
Trouble Child,Court and Spark,['Joni Mitchell'],0.762385273,1,FALSE,0.605,0.322,0,-13.261,1,0.025,0.459,2.82E-05,0.137,0.597,97.691,240093,1,1974,1/17/1974,10
La conversation,Ma casquette,['Dany Aubé'],0.168532839,1,FALSE,0.586,0.483,10,-11.723,1,0.115,0.532,0,0.137,0.786,81.584,167507,4,1999,2/8/1999,17
The Faster I Go,If I Never Stop Loving You,['David Kersh'],0.92592849,1,FALSE,0.68,0.755,0,-6.158,0,0.0253,0.166,0.000772,0.275,0.71,105.689,189227,4,1998,2/17/1998,11
Say It,Definition,['D.R.I.'],0.709187528,1,FALSE,0.371,0.913,8,-8.384,0,0.051,6.25E-05,0.0148,0.171,0.203,114.247,253827,4,1992,1992,7
Cielo de Estrellas,Fiesta Conejera,['Internacionales Conejos'],0.222745984,1,FALSE,0.708,0.592,5,-6.714,1,0.0269,0.354,0,0.0752,0.844,123.216,111720,4,2012,2/20/2012,10
Indifference,Nu,['Edie'],0.5837157,1,FALSE,0.561,0.568,10,-5.908,1,0.0628,0.274,0.00177,0.522,0.578,106.991,88320,4,2004,10/27/2004,4
Screaming Fist,Reshaper,['Blush Response'],0.65373386,1,FALSE,0.631,0.768,11,-10.601,0,0.0758,0.00192,0.938,0.211,0.144,134.04,272293,4,2016,4/8/2016,8
Freiflug,Querschnitt,['Megaherz'],0.170430455,2,FALSE,0.509,0.69,1,-7.429,0,0.0329,0.00273,9.28E-05,0.124,0.268,160.027,300040,4,2006,1/10/2006,2
Last Christmas,Christmas Party Mix (Bonus),['The Superstarz Kids'],0.13089746,1,FALSE,0.71,0.643,5,-9.867,1,0.0273,0.128,5.41E-06,0.0943,0.733,115.975,239187,4,2013,10/29/2013,16
Double Cross,"If There Is Light, It Will Find You",['Senses Fail'],0.616844035,1,FALSE,0.379,0.935,2,-3.546,1,0.0604,1.82E-05,0,0.064,0.469,179.902,205373,4,2018,2/16/2018,1
Eatin' Out Of Your Hand,30 Essential Bluegrass Hits,['Bill Harrell'],0.247945984,2,FALSE,0.558,0.584,5,-10.248,0,0.0557,0.481,0.0144,0.348,0.935,143.873,133040,4,2005,2005,9
Pacify (Mini-DnB Arrange),SYNTECH-,['Nostraightanswer'],0.356267963,1,FALSE,0.628,0.823,5,-8.597,0,0.315,0.0625,1.99E-05,0.256,0.556,171.974,212571,4,2019,8/23/2019,5
Through Darkness,Through Darkness,['Renascent'],0.297813948,1,FALSE,0.319,0.932,11,-7.208,0,0.0707,3.95E-05,0.405,0.293,0.0545,150.029,383480,4,2005,2005,4
Minuet on the name of Haydn - Maurice Ravel,Little Gems,"['Maurice Ravel', 'Carol Comune']",0.174602501,1,FALSE,0.427,0.0269,7,-27.87,1,0.0388,0.995,0.836,0.102,0.124,109.068,122293,4,1999,1/1/1999,13
High Wire,Composer's Collection: John Mackey,"['John Mackey', 'North Texas Wind Symphony', 'Eugene Migliaro Corporon']",0.73185708,1,FALSE,0.183,0.654,9,-11.116,1,0.0859,0.741,0.912,0.0846,0.0422,82.364,258827,1,2017,4/14/2017,1
Flute Concerto in D Major: I. Allegro moderato,"Stamitz, J.: Flute Concertos","['Johann Stamitz', 'Robert Aitken', 'The Vilnius City Municipality St. Christopher Chamber Orchestra', 'Donatas Katkus']",0.028963087,1,FALSE,0.477,0.0586,2,-23.661,1,0.0558,0.983,0.906,0.0806,0.55,151.573,370867,4,2009,11/17/2009,7
Krasnodar Krai,Krai,"['Olga Bell', 'Grey McMurray', 'Andrea Lee', 'Logan Coale', 'Gunnar Olsen']",0.352075776,1,FALSE,0.27,0.275,4,-9.884,0,0.0308,0.546,0,0.362,0.165,90.14,413394,4,2014,7/1/2014,1
Xviii,Firmament IV,['Main'],0.814440251,1,FALSE,0.172,0.00506,1,-44.725,1,0.045,0.625,0.745,0.12,0.0389,118.075,334173,5,1998,5/18/1998,3
Faith - Remix By Sd6,Regenerated X,['Regenerator'],0.342309512,1,FALSE,0.633,0.89,10,-7.214,0,0.0472,0.000178,0.0582,0.192,0.237,133.988,306747,4,2003,2003,13
Slinky Snake,Live at the Leaf,['Papa Grows Funk'],0.994067624,1,FALSE,0.545,0.914,0,-5.739,1,0.0838,0.0176,0.622,0.912,0.655,126.779,457933,4,2007,2007,8
Meditation,The World Of Duke Ellington Vol. 1,['WDR Big Band Cologne'],0.772284379,1,FALSE,0.446,0.23,1,-18.09,1,0.0485,0.926,0.805,0.773,0.141,64.764,254893,3,2008,2/5/2008,12
Agua De Beber,Heartbreakers,['Astrud Gilberto'],0.032722477,1,FALSE,0.66,0.346,4,-13.709,0,0.0396,0.677,0,0.0808,0.719,148.89,137467,4,2001,3/20/2001,2
The Pony to Bet On,Believe,['Legendary Shack Shakers'],0.65234261,1,TRUE,0.567,0.546,7,-10.225,1,0.0459,0.586,0.000331,0.172,0.597,138.819,208200,3,2004,10/5/2004,10
Flieg mit mir zu den Sternen (feat. Roland Kaiser) - Hitmix 66,Hitmix 66 (feat. Roland Kaiser),"['VitaliZe', 'Roland Kaiser']",0.543630193,1,FALSE,0.746,0.434,7,-9.218,1,0.0351,0.162,6.72E-05,0.0964,0.448,126.015,110467,4,2018,5/10/2018,30
7th Stanza,Downtown Castles Can Never Block the Sun,['Ben LaMar Gay'],0.47892471,1,FALSE,0.539,0.386,0,-17.235,1,0.467,0.719,1.07E-06,0.328,0.566,123.036,56840,1,2018,5/4/2018,14
Der Rauchfangkehrer: Wenn dem Adler das Gefieder,"Divas Of Mozart's Day: Arias Written for Catarina Cavalieri, Nancy Storace & Others","['Antonio Salieri', 'Patrice Michaels', 'Classical Arts Orchestra', 'Stephen Alltop']",0.666834087,1,FALSE,0.4,0.163,0,-17.569,1,0.0524,0.858,0.000326,0.23,0.0881,114.347,329640,4,2000,1/1/2000,3
Barnett's Blues,Love Me Lonely,['Jack Klatt'],0.545221147,1,FALSE,0.52,0.212,2,-14.227,1,0.0331,0.819,0,0.229,0.568,148.474,201547,3,2013,7/22/2013,11
Kilòkilò,Kilòkilò,['Beautiful Nubia & The Roots Renaissance Band'],0.953819649,1,FALSE,0.481,0.653,0,-5.266,0,0.147,0.339,1.53E-06,0.0703,0.769,166.792,261707,3,2007,1/1/2007,2
Get on the Wheel,Right Royal,['Jack Adaptor'],0.327708462,1,FALSE,0.634,0.43,11,-18.567,1,0.05,0.156,0.606,0.0906,0.567,119.895,194699,4,2016,5/6/2016,25
Times Like These - Atrophied Mix by Insertion #16,Isotope,['Static Engine'],0.043088761,1,FALSE,0.735,0.659,6,-9.029,1,0.039,0.0752,0.877,0.327,0.487,129.015,238387,4,2004,1/1/2004,10
Cancons de muntanya (Mountain songs): VII. Canco d'enyoranca,"Blancafort, M.: Piano Music, Vol. 1 - Peces De Joventut / Cancons De Muntanya / Notes D'Antany","['Manuel Blancafort', 'Miquel Villalba']",0.743297486,1,FALSE,0.365,0.00213,7,-40.405,0,0.0699,0.996,0.935,0.0804,0.271,92.589,120960,4,2003,8/1/2003,14
Rose In Paradise,Bridging the Tradition,['Lonesome River Band'],0.269740533,1,FALSE,0.656,0.544,2,-8.537,1,0.0268,0.57,0.000591,0.188,0.477,95.915,264835,4,2016,3/18/2016,5
Wake Me Up - Instrumental,Wake Me Up,['TWICE'],0.185838393,1,FALSE,0.622,0.995,6,-2.59,0,0.0667,9.72E-05,0.852,0.323,0.646,125.991,211760,4,2018,5/16/2018,3
Inside Me,Eco (feat. Funky Torinos),['Willy Crook'],0.173081191,1,FALSE,0.815,0.579,7,-8.111,1,0.0254,0.705,0.00232,0.0899,0.928,102.295,217920,4,1998,1/1/1998,3
Feria De Jerez,Como Bailan Los Caballos Andaluces (Sinfónia Flamenca),"['Manolo Carrasco', 'Jorge Pardo', 'Manolito Soler']",0.583622633,1,FALSE,0.611,0.902,7,-3.892,1,0.0349,0.548,0.171,0.0434,0.614,129.964,394067,3,2009,3/3/2009,9
Anyday,Circus Liquor,['Ned Evett'],0.843056769,1,FALSE,0.535,0.565,7,-8.85,1,0.0298,0.325,0,0.142,0.518,89.952,230467,4,2003,1/19/2003,7
God's Camaro,Left for Dead,['Wussy'],0.429789137,1,FALSE,0.519,0.761,0,-8.027,1,0.0257,0.00146,0.0079,0.197,0.522,108.074,231947,4,2009,1/20/2009,10
Paris Through the Window,A Class Act: A Musical About Musicals (Original Cast Recording),"['Lonny Price', 'David Hibbard', 'Ray Wills']",0.65719375,1,FALSE,0.377,0.154,7,-14.048,1,0.0577,0.899,0,0.139,0.302,72.761,212667,5,2001,2/20/2001,6
Commercial1,Undaground All-Stars,['Lil Keke'],0.806933397,1,TRUE,0.786,0.279,6,-8.873,0,0.881,0.809,0,0.151,0.856,78.577,30120,5,2005,3/29/2005,6
Suite in D Minor: Bourrée,Bream Collection Vol. 9 - Baroque Guitar,"['Robert de Visée', 'Julian Bream']",0.40408171,1,FALSE,0.64,0.324,2,-20.744,1,0.0373,0.954,0.793,0.126,0.719,102.893,41893,4,1993,3/1/1993,18
Venus as a Boy,5000 Miles,['Nils Landgren Funk Unit'],0.305871174,1,FALSE,0.58,0.354,1,-13.98,1,0.027,0.52,0.896,0.0855,0.414,131.29,300507,4,1999,1999,9
"Allegro appassionato, Op. 70","Saint-Saëns: Le Carnaval Des Animaux, Septuor, Allegro Appasionato & 6 Bagatelles","['Camille Saint-Saëns', 'Ian Hobson', 'Sinfonia Da Camera']",0.701940436,1,FALSE,0.286,0.0701,11,-25.255,0,0.0419,0.99,0.88,0.0908,0.084,83.984,345440,4,2008,9/2/2008,19
Find Another Lover,Fever Dreams,['Mia Borders'],0.003622669,1,TRUE,0.703,0.68,5,-6.195,0,0.0535,0.585,9.27E-05,0.162,0.382,80.011,286208,4,2016,9/2/2016,6
Heather Via PA,For The Heathers,['Baby Teeth'],0.834093806,1,FALSE,0.689,0.663,2,-4.886,1,0.0407,0.243,0.0034,0.371,0.796,120.648,173893,4,2006,3/14/2006,4
Burlesque,"Bax: Piano Works, Vol. 1","['Arnold Bax', 'Ashley Wass']",0.965656311,1,FALSE,0.494,0.174,5,-23.473,1,0.0394,0.984,0.915,0.119,0.194,104.271,187920,4,2004,9/1/2004,4
Contact,"The Next Mission, Pt. 2",['Tor.Ma In DuB'],0.484799852,1,FALSE,0.572,0.738,11,-9.848,0,0.039,0.00488,0.637,0.0801,0.159,132.004,449578,4,2012,8/20/2012,9
O Holy Night,The Rebirth of Light,['Kathleen Ryan'],0.386429445,1,FALSE,0.369,0.0163,3,-25.306,1,0.0614,0.991,0.903,0.125,0.208,70.785,150480,3,2007,1/1/2007,13
Lonely Are The Brave,Dragon,"['Two Steps from Hell', 'Nick Phoenix']",0.235221153,1,FALSE,0.0634,0.409,3,-8.613,0,0.0345,0.151,0.724,0.107,0.0386,67.001,238333,4,2019,1/18/2019,12
Random Summer,Yesterday Was Dramatic – Today Is OK,['múm'],0.891808605,1,FALSE,0.203,0.0648,7,-27.537,1,0.0363,0.465,0.142,0.126,0.177,87.268,197027,1,2005,10/4/2005,4
"The Gallery (From ""Dressed To Kill"")",The Definitive Horror Music Collection,['The City of Prague Philharmonic Orchestra'],0.127214502,3,FALSE,0.18,0.166,8,-15.45,1,0.0405,0.743,0.938,0.178,0.0393,117.019,363200,3,2009,10/13/2009,7
Someone Or Other,24-7-365,['Data-Bank-A'],0.407104571,1,FALSE,0.672,0.526,8,-9.934,1,0.0368,0.201,0.342,0.506,0.483,120.053,264282,4,2011,9/11/2011,11
The Resurrection Ceremony,Volume Eleven / The Resurrection Hymns,['Byzantine Music of the Greek Orthodox Church'],0.234988681,1,FALSE,0.293,0.159,11,-14.362,1,0.035,0.964,0,0.0998,0.17,94.323,1367827,4,2008,1/1/2008,2
Tambourin,Dance Of The Blessed Spirits,"['Donald Sosin', 'Francois-Joseph Gossec', 'Nora Shulman', 'Judy Loman']",0.77078912,1,FALSE,0.499,0.144,5,-21.063,1,0.0439,0.962,0.897,0.13,0.64,135.891,92333,4,1998,6/1/1998,19
Orbital,So Runs The World Away,['Josh Ritter'],0.807770484,1,FALSE,0.231,0.936,4,-4.171,1,0.0961,0.0552,0.00154,0.13,0.273,174.291,209040,4,2010,5/4/2010,12
Insane,D.I.R.T. Da Incredible Rap Team,['Heltah Skeltah'],0.680422022,1,FALSE,0.581,0.871,1,-4.909,1,0.348,0.0836,0,0.266,0.887,80.792,264893,4,2008,9/30/2008,8
Swimmer,Wake Up,['Ashbury Keys'],0.570758237,1,FALSE,0.537,0.795,10,-3.881,0,0.0596,0.0107,0.00763,0.0713,0.675,129.115,191813,4,2012,4/1/2012,1
Hard Woman,Bullett Proof,['Bullett'],0.241817389,1,FALSE,0.551,0.86,0,-6.822,1,0.0604,0.0314,5.75E-06,0.29,0.708,104.72,247853,4,2010,3/12/2010,8
Lord of an Empty Place,Headquake,['Eldritch'],0.019004541,1,FALSE,0.312,0.984,11,-2.564,1,0.0874,0.017,4.52E-06,0.149,0.299,135.787,331320,4,2006,2006,4
Dream Garden,Instrumental Odyssey Volume 2,['Mehdi'],0.644239832,1,FALSE,0.66,0.785,4,-8.499,0,0.0276,0.904,0.864,0.231,0.904,121.054,306187,4,2009,8/30/2009,1
Boogie Oogie Oogie,"Narcos, Vol. 1 (More Music from the Netflix Original Series)",['A Taste Of Honey'],0.4920018,1,FALSE,0.817,0.592,2,-8.807,0,0.0595,0.0149,4.63E-06,0.213,0.893,123.594,219400,4,2016,9/2/2016,2
It Is Not Necessary,My Mind Has Seen the White Trick,['Circus Devils'],0.618846577,1,FALSE,0.353,0.658,4,-7.395,1,0.0689,0.0857,1.17E-05,0.11,0.348,105.578,127320,4,2013,10/29/2013,11
Love Is Stronger,Dieter - der Film,['Dieter Bohlen'],0.953793966,1,FALSE,0.572,0.589,7,-6.806,1,0.0352,0.237,0,0.792,0.305,129.958,224491,4,2005,10/14/2005,8
Your Favorite Fool,It's Love We Need,['Susi Hyldgaard'],0.508799,1,FALSE,0.403,0.614,8,-7.879,1,0.058,0.653,0.00651,0.125,0.44,147.011,299333,4,2009,2/13/2009,9
"Lost In Paradise - 7"" Version",Greatest Hits & Remixes,['Grant Miller'],0.030756342,1,FALSE,0.506,0.871,4,-7.542,0,0.226,0.00395,2.77E-06,0.133,0.636,129.614,236733,4,2015,10/9/2015,4
Bach Suite no.2 for unaccompanied cello: Sarabande; Suite no.1 for unaccompanied cello: Prelude,"Dr. Chesky's Sensational, Fantastic, and Simply Amazing Binaural Sound Show",['Dr. Chesky'],0.145237055,1,FALSE,0.295,0.0747,7,-29.517,1,0.0447,0.967,0.785,0.125,0.4,140.003,180000,4,2012,8/28/2012,8
I'm Going Back To North Carolina,Wu Man And Friends,['Wu Man'],0.171777388,1,FALSE,0.709,0.367,0,-13.685,1,0.0353,0.874,0.145,0.0961,0.894,121.786,136333,4,2005,4/15/2005,4
Smoke,Big Splash,['Evan Schaeffer'],0.42171693,1,FALSE,0.68,0.802,1,-5.663,0,0.0392,0.0362,0.86,0.12,0.309,99.997,205871,4,2017,8/8/2017,1
Ride Again,Smugglers and Bounty Hunters,"[""The Men They Couldn't Hang""]",0.807484012,1,FALSE,0.576,0.83,7,-6.421,1,0.0334,0.207,5.91E-05,0.889,0.773,114.899,231576,4,2005,1/1/2005,5
Qu'est-ce tu voulais qui s'passe,"Mon mic, mon forty, mon blunt",['Taktika'],0.938257954,1,FALSE,0.816,0.647,1,-6.933,1,0.123,0.0195,6.43E-06,0.259,0.485,98.043,249600,4,2007,10/11/2007,4
Suhteellinen / Comparative,Katodivaihe / Cathodephase,['Pan Sonic'],0.931587697,1,FALSE,0.233,0.0205,7,-18.329,1,0.0821,0.0547,0.363,0.0785,0.035,134.179,540587,4,2007,5/14/2007,8
This Garden,Chasing Tales,['Jo Bywater'],0.828616063,1,FALSE,0.471,0.45,2,-11.936,1,0.035,0.728,0,0.233,0.38,99.642,274200,4,2013,9/27/2013,3
All Coming Back to Me Now,All Coming Back to Me Now,['Terry Dan'],0.947583854,1,FALSE,0.605,0.775,2,-7.568,1,0.0381,0.598,0,0.111,0.82,164.095,165998,4,2020,5/15/2020,1
Second Love - live,Remedy Lane Re:lived,['Pain of Salvation'],0.634740585,1,FALSE,0.22,0.267,9,-11.709,0,0.033,0.683,7.42E-05,0.389,0.162,86.77,292080,5,2016,7/1/2016,12
"Neat, Neat, Neat",L.A. Confidential,['Stiv Bators'],0.258558901,1,FALSE,0.445,0.795,2,-8.404,1,0.0484,0.954,0.00639,0.166,0.5,95.854,187627,4,1979,1979,18
Plastic Shaman,Vhöl,['VHÖL'],0.575058745,1,FALSE,0.275,0.971,1,-6.529,1,0.119,4.33E-05,0.84,0.159,0.0828,113.169,347907,4,2013,4/16/2013,3
Present Tense,A Moon Shaped Pool,['Radiohead'],0.995009829,1,FALSE,0.462,0.407,1,-12.428,0,0.0345,0.912,0.399,0.11,0.336,91.915,306581,4,2016,5/8/2016,9
24 Caprices en formes d'etudes: No. 23 in F Major,"Rode, P.: 24 Caprices for Solo Violin","['Pierre Rode', 'Axel Strauss']",0.976278715,1,FALSE,0.347,0.0963,0,-20.042,1,0.0556,0.994,0.379,0.107,0.259,114.805,150907,1,2009,12/15/2009,23
Everything You Need,Eleanore,['Eleanore'],0.729281931,1,TRUE,0.386,0.553,9,-10.269,1,0.0482,0.00395,2.68E-05,0.144,0.376,115.926,267027,4,2016,5/26/2016,6
Sex Type Thing - Swing Type Version; 2017 Remaster [Remastered],Core (Super Deluxe Edition),['Stone Temple Pilots'],0.966673407,2,FALSE,0.617,0.464,4,-10.161,1,0.0524,0.0472,0.0161,0.0958,0.361,60.356,263333,4,1992,9/29/1992,10
500 Años,Canciones de Medicina II,['Alonso Del Rio'],0.196697899,1,FALSE,0.301,0.525,6,-10.908,1,0.0344,0.829,0.207,0.111,0.225,124.519,345053,3,2006,4/24/2006,2
"Let Me Tell You, Pt. 3: Part 3: I will go out now",Hans Abrahamsen: Let Me Tell You,"['Hans Abrahamsen', 'Barbara Hannigan', 'Bavarian Radio Symphony Orchestra', 'Andris Nelsons']",0.495615865,1,FALSE,0.0834,0.0183,7,-29.564,1,0.0432,0.984,0.769,0.123,0.0285,82.394,643213,1,2016,12/2/2016,7
"4 Letzte Lieder, TrV 296: No. 1, Frühling",Four Last Songs,"['Richard Strauss', 'Jane Eaglen', 'Donald Runnicles', 'London Symphony Orchestra']",0.528805182,1,FALSE,0.227,0.17,9,-17.27,1,0.0433,0.989,0.0153,0.148,0.0387,76.813,203267,3,2000,3/3/2000,13
My Splendid Emerald Isle,Live in Consort,['The Poxy Boggards'],0.394490014,1,TRUE,0.394,0.605,2,-6.705,1,0.0644,0.875,1.69E-05,0.638,0.404,132.317,188360,4,2011,4/9/2011,7
Lullaby,Middle of Nowhere,['Centerville'],0.702967117,1,FALSE,0.38,0.171,11,-11.691,1,0.029,0.859,0,0.0894,0.377,175.932,251320,4,2011,11/15/2011,11
The Great Unknown,The Great Unknown,"['Sarah Geronimo', 'Hale']",0.492792488,1,FALSE,0.485,0.425,2,-7.23,1,0.0295,0.346,0,0.151,0.255,121.807,341205,4,2015,12/4/2015,2
Tokyo Nights,Tokyo Nights,"['Digital Farm Animals', 'Shaun Frank', 'Dragonette']",0.888006307,1,FALSE,0.556,0.671,11,-6.366,0,0.0647,0.0319,0.000377,0.111,0.252,105.057,243536,4,2018,3/30/2018,1
A Estrada (Outtake),The Last Drive-In Theater (Original Motion Picture Soundtrack),"['Sascha Kratzer', 'Bruno Berê', 'Zepedro Gollo']",0.249462436,1,FALSE,0.613,0.119,0,-19.284,1,0.0345,0.941,0.92,0.0931,0.153,89.012,174000,3,2019,10/23/2019,4
